timestamp, client_id, client_ip, cpu_usage, ram_usage, disk_usage, net_usage
1775630602, 1, 127.0.0.1, 0.10, 4.68, 0.43, 0.00
1775630607, 1, 127.0.0.1, 0.10, 4.68, 0.43, 0.00
1775630612, 1, 127.0.0.1, 0.11, 4.69, 0.43, 0.00
1775630617, 1, 127.0.0.1, 0.14, 4.67, 0.43, 0.00
1775630622, 1, 127.0.0.1, 0.11, 4.68, 0.43, 0.00
1775630627, 1, 127.0.0.1, 0.11, 4.68, 0.43, 0.00
1775630632, 1, 127.0.0.1, 0.11, 4.68, 0.43, 0.00
1775630637, 1, 127.0.0.1, 0.11, 4.66, 0.43, 0.00
1775630642, 1, 127.0.0.1, 0.15, 4.67, 0.43, 0.00
1775798209, 1, 127.0.0.1, 1.31, 5.17, 0.93, 0.00
1775798214, 1, 127.0.0.1, 0.00, 5.17, 0.93, 0.00
1775798219, 1, 127.0.0.1, 0.06, 5.16, 0.93, 0.00
1775798225, 1, 127.0.0.1, 0.07, 5.14, 0.93, 0.00
1775798230, 1, 127.0.0.1, 0.02, 5.14, 0.93, 0.00
1775798235, 1, 127.0.0.1, 0.05, 5.16, 0.93, 0.00
1775798238, 1, 127.0.0.1, 0.15, 5.15, 0.93, 0.00
1775798243, 1, 127.0.0.1, 0.02, 5.16, 0.93, 0.00
1775798248, 1, 127.0.0.1, 0.02, 5.16, 0.93, 0.00
1775798253, 1, 127.0.0.1, 0.06, 5.16, 0.93, 0.00
1775798258, 1, 127.0.0.1, 0.01, 5.16, 0.93, 0.00
1775798263, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798266, 1, 127.0.0.1, 0.05, 5.17, 0.93, 0.00
1775798271, 1, 127.0.0.1, 0.01, 5.17, 0.93, 0.00
1775798276, 1, 127.0.0.1, 0.04, 5.17, 0.93, 0.00
1775798281, 1, 127.0.0.1, 0.04, 5.17, 0.93, 0.00
1775798286, 1, 127.0.0.1, 0.05, 5.17, 0.93, 0.00
1775798291, 1, 127.0.0.1, 0.03, 5.17, 0.93, 0.00
1775798296, 1, 127.0.0.1, 0.06, 5.15, 0.93, 0.00
1775798299, 1, 127.0.0.1, 0.05, 5.16, 0.93, 0.00
1775798304, 1, 127.0.0.1, 0.02, 5.16, 0.93, 0.00
1775798309, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798314, 1, 127.0.0.1, 0.01, 5.16, 0.93, 0.00
1775798319, 1, 127.0.0.1, 0.05, 5.16, 0.93, 0.00
1775798324, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798328, 1, 127.0.0.1, 0.06, 5.16, 0.93, 0.00
1775798333, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798338, 1, 127.0.0.1, 0.01, 5.16, 0.93, 0.00
1775798343, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798348, 1, 127.0.0.1, 0.01, 5.14, 0.93, 0.00
1775798353, 1, 127.0.0.1, 0.10, 5.14, 0.93, 0.00
1775798358, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798361, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798366, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798371, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798376, 1, 127.0.0.1, 0.01, 5.15, 0.93, 0.00
1775798381, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798386, 1, 127.0.0.1, 0.06, 5.15, 0.93, 0.00
1775798389, 1, 127.0.0.1, 0.01, 5.15, 0.93, 0.00
1775798394, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798399, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798404, 1, 127.0.0.1, 0.02, 5.15, 0.93, 0.00
1775798409, 1, 127.0.0.1, 0.06, 5.15, 0.93, 0.00
1775798414, 1, 127.0.0.1, 0.07, 5.22, 0.93, 0.00
1775798419, 1, 127.0.0.1, 0.32, 5.24, 0.93, 0.00
1775798422, 1, 127.0.0.1, 0.04, 5.24, 0.93, 0.00
1775798428, 1, 127.0.0.1, 0.05, 5.24, 0.93, 0.00
1775798433, 1, 127.0.0.1, 0.08, 5.16, 0.93, 0.00
1775798438, 1, 127.0.0.1, 0.02, 5.13, 0.93, 0.00
1775798443, 1, 127.0.0.1, 0.05, 5.14, 0.93, 0.00
1775798448, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798451, 1, 127.0.0.1, 0.06, 5.14, 0.93, 0.00
1775798456, 1, 127.0.0.1, 0.01, 5.14, 0.93, 0.00
1775798461, 1, 127.0.0.1, 0.05, 5.14, 0.93, 0.00
1775798466, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798471, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798476, 1, 127.0.0.1, 0.05, 5.14, 0.93, 0.00
1775798481, 1, 127.0.0.1, 0.02, 5.14, 0.93, 0.00
1775798484, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798489, 1, 127.0.0.1, 0.05, 5.14, 0.93, 0.00
1775798494, 1, 127.0.0.1, 0.02, 5.14, 0.93, 0.00
1775798499, 1, 127.0.0.1, 0.02, 5.14, 0.93, 0.00
1775798504, 1, 127.0.0.1, 0.05, 5.14, 0.93, 0.00
1775798509, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798512, 1, 127.0.0.1, 0.02, 5.14, 0.93, 0.00
1775798517, 1, 127.0.0.1, 0.04, 5.14, 0.93, 0.00
1775798522, 1, 127.0.0.1, 0.07, 5.15, 0.93, 0.00
1775798527, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798532, 1, 127.0.0.1, 0.01, 5.15, 0.93, 0.00
1775798537, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798542, 1, 127.0.0.1, 0.02, 5.15, 0.93, 0.00
1775798545, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798550, 1, 127.0.0.1, 0.06, 5.16, 0.93, 0.00
1775798555, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798560, 1, 127.0.0.1, 0.00, 5.16, 0.93, 0.00
1775798565, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798570, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798574, 1, 127.0.0.1, 0.02, 5.15, 0.93, 0.00
1775798579, 1, 127.0.0.1, 0.08, 5.14, 0.93, 0.00
1775798584, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798589, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798594, 1, 127.0.0.1, 0.03, 5.15, 0.93, 0.00
1775798599, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798604, 1, 127.0.0.1, 0.01, 5.15, 0.93, 0.00
1775798607, 1, 127.0.0.1, 0.02, 5.15, 0.93, 0.00
1775798612, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798617, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798622, 1, 127.0.0.1, 0.05, 5.15, 0.93, 0.00
1775798627, 1, 127.0.0.1, 0.02, 5.15, 0.93, 0.00
1775798632, 1, 127.0.0.1, 0.04, 5.15, 0.93, 0.00
1775798635, 1, 127.0.0.1, 0.06, 5.15, 0.93, 0.00
1775798640, 1, 127.0.0.1, 0.05, 5.16, 0.93, 0.00
1775798645, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798650, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798655, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798660, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798665, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775798668, 1, 127.0.0.1, 0.07, 5.16, 0.93, 0.00
1775798673, 1, 127.0.0.1, 0.04, 5.11, 0.93, 0.00
1775798678, 1, 127.0.0.1, 0.05, 5.11, 0.93, 0.00
1775798683, 1, 127.0.0.1, 0.04, 5.11, 0.93, 0.00
1775798688, 1, 127.0.0.1, 0.09, 5.11, 0.93, 0.00
1775798694, 1, 127.0.0.1, 0.02, 5.11, 0.93, 0.00
1775798699, 1, 127.0.0.1, 0.06, 5.11, 0.93, 0.00
1775805021, 1, 127.0.0.1, 0.06, 5.16, 0.93, 0.00
1775805026, 1, 127.0.0.1, 0.04, 5.16, 0.93, 0.00
1775805029, 1, 127.0.0.1, 0.04, 5.17, 0.93, 0.00
1775805034, 1, 127.0.0.1, 0.06, 5.17, 0.93, 0.00
1775805039, 1, 127.0.0.1, 0.45, 5.23, 0.93, 0.00
1775805044, 1, 127.0.0.1, 0.10, 5.24, 0.93, 0.00
1775805049, 1, 127.0.0.1, 0.14, 5.23, 0.93, 0.00
1775805054, 1, 127.0.0.1, 0.53, 5.25, 0.93, 0.00
1775805057, 1, 127.0.0.1, 0.41, 5.26, 0.93, 0.00
1775805062, 1, 127.0.0.1, 0.06, 5.28, 0.93, 0.00
1775805063, 2, 127.0.0.1, 0.06, 5.29, 0.93, 0.00
1775805067, 1, 127.0.0.1, 0.05, 5.29, 0.93, 0.00
1775805068, 2, 127.0.0.1, 0.05, 5.29, 0.93, 0.00
1775805072, 1, 127.0.0.1, 0.05, 5.29, 0.93, 0.00
1775805073, 2, 127.0.0.1, 0.02, 5.29, 0.93, 0.00
